id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,upbeat
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,focused
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,dreamy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,81,2020,euphoric
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,44,2010,dreamy
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,nostalgic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,2020,brooding
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020,focused
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020,upbeat
11,Block Party Anthem,Crest Wave,hip hop,energetic,0.87,96,0.78,0.91,0.08,83,2020,energetic
12,Rainy Day Letters,Solenne,classical,sad,0.22,66,0.30,0.25,0.94,41,2010,melancholic
13,Dirt Road Dreaming,Clay Monroe,country,romantic,0.58,102,0.74,0.65,0.72,55,2010,nostalgic
14,Velvet Slow Burn,Aria Cole,r&b,romantic,0.61,88,0.80,0.70,0.45,70,2020,romantic
15,Concrete Sunrise,K-Flows,hip hop,energetic,0.83,92,0.69,0.85,0.12,76,2020,energetic
16,Moonlight Sonata Reimagined,Clara Voss,classical,sad,0.18,72,0.28,0.20,0.97,38,2010,melancholic
17,Heartbreak Highway,June Rivers,country,sad,0.48,98,0.38,0.52,0.68,49,2000,melancholic
18,Late Night Feelings,Solenne,r&b,moody,0.55,90,0.62,0.66,0.53,63,2020,brooding
